"","number","fieldnumber","depth_capture_range_ft","depth_capture_avg_m","depth_avg","weight_g","SL_mm","TL_mm","sex","gonad_weight_g","guts_preserved","whole_fish_preserved","notes","gonad_index","tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.","depth_categorical","muscle_ctotal","muscle_ntotal","scale_ctotal","scale_ntotal","heart_ctotal","heart_ntotal","calibration","tp","tissue","c","n"
"96","CUR_LION19033","CURASUB19-05","330 ft",100.584,330,700,300,410,"M","<1","YES","YES","","Spawning capable","S, M, H","deep",184.05,58.95,113.03,38.25,175.2,44.87,"single",2.75588235294118,"scale",-15.03,8.55
"97","CUR_LION19034","CURASUB19-05","300 ft",91.44,300,196,190,255,"F","5","YES","YES","","Spawning capable","S, M, H","deep",179.905,54.99,114.76,38.77,189.36,50.16,"average",2.50735294117647,"muscle",-17.995,9.125
"98","CUR_LION19034","CURASUB19-05","300 ft",91.44,300,196,190,255,"F","5","YES","YES","","Spawning capable","S, M, H","deep",179.905,54.99,114.76,38.77,189.36,50.16,"average",2.50735294117647,"heart",-18.63,8.86
"99","CUR_LION19034","CURASUB19-05","300 ft",91.44,300,196,190,255,"F","5","YES","YES","","Spawning capable","S, M, H","deep",179.905,54.99,114.76,38.77,189.36,50.16,"average",2.50735294117647,"scale",-15.27,8.96
"100","CUR_LION19035","CURSH19-12","55-65 ft",18.288,60,745,275,360,"M","<1","YES","YES","","Spawning Capable","S, M, H","shallow",182.57,56.82,113.52,39.27,193.54,50.74,"single",2.61470588235294,"muscle",-16.18,9.49
"101","CUR_LION19035","CURSH19-12","55-65 ft",18.288,60,745,275,360,"M","<1","YES","YES","","Spawning Capable","S, M, H","shallow",182.57,56.82,113.52,39.27,193.54,50.74,"single",2.61470588235294,"heart",-16.88,9.14
"102","CUR_LION19035","CURSH19-12","55-65 ft",18.288,60,745,275,360,"M","<1","YES","YES","","Spawning Capable","S, M, H","shallow",182.57,56.82,113.52,39.27,193.54,50.74,"single",2.61470588235294,"scale",-13.68,8.59
"103","CUR_LION19036","CURASUB19-05","440",134.112,440,562,265,345,"F","11","YES","YES","","Developing","S, M, H","deep",181.62,58.16,118,41.37,177.44,45.2,"single",2.99411764705882,"muscle",-17.11,10.78
"104","CUR_LION19036","CURASUB19-05","440",134.112,440,562,265,345,"F","11","YES","YES","","Developing","S, M, H","deep",181.62,58.16,118,41.37,177.44,45.2,"single",2.99411764705882,"heart",-17.88,10.99
"105","CUR_LION19036","CURASUB19-05","440",134.112,440,562,265,345,"F","11","YES","YES","","Developing","S, M, H","deep",181.62,58.16,118,41.37,177.44,45.2,"single",2.99411764705882,"scale",-14.02,9.65
