,number,fieldnumber,depth_capture_range_ft,depth_capture_avg_m,depth_avg,weight_g,SL_mm,TL_mm,sex,gonad_weight_g,guts_preserved,whole_fish_preserved,notes,gonad_index,tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.,depth_categorical,muscle_ctotal,muscle_ntotal,scale_ctotal,scale_ntotal,heart_ctotal,heart_ntotal,calibration,tp,tissue,c,n,tissuedepth
74,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,heart,-17.28,8.25,heart_deep
73,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,muscle,-17.39,9.55,muscle_deep
75,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,scale,-15.02,9.01,scale_deep
89,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,heart,-17.9,9.93,heart_deep
88,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,muscle,-16.96,9.95,muscle_deep
90,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,scale,-14.42,9.06,scale_deep
86,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,heart,-17.97,10.24,heart_deep
85,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,muscle,-17.035,9.975,muscle_deep
87,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,scale,-14.82,9.53,scale_deep
122,CUR_LION19042,CURASUB19-06,420,128.016,420,240,200,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,184.4,59.12,118.74,40.965,178.06,45,average,2.732352941,heart,-17.59,10.69,heart_deep
121,CUR_LION19042,CURASUB19-06,420,128.016,420,240,200,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,184.4,59.12,118.74,40.965,178.06,45,average,2.732352941,muscle,-16.43,9.89,muscle_deep
123,CUR_LION19042,CURASUB19-06,420,128.016,420,240,200,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,184.4,59.12,118.74,40.965,178.06,45,average,2.732352941,scale,-13.65,9.39,scale_deep
176,CUR_LION19060,CURASUB19-07,373,113.6904,373,236,199,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,191.17,60.32,109.48,38.23,182.83,47.32,average,2.805882353,heart,-18.04,9.79,heart_deep
175,CUR_LION19060,CURASUB19-07,373,113.6904,373,236,199,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,191.17,60.32,109.48,38.23,182.83,47.32,average,2.805882353,muscle,-17.385,10.14,muscle_deep
177,CUR_LION19060,CURASUB19-07,373,113.6904,373,236,199,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,191.17,60.32,109.48,38.23,182.83,47.32,average,2.805882353,scale,-14.18,9.44,scale_deep
182,CUR_LION19062,CURASUB19-07,275,83.82,275,205,197,270,F,6,YES,YES,,Spawning capable,"S, M, H",deep,174.055,55.095,120.64,41.79,189.69,42.94,average,2.464705882,heart,-19.8,11.22,heart_deep
181,CUR_LION19062,CURASUB19-07,275,83.82,275,205,197,270,F,6,YES,YES,,Spawning capable,"S, M, H",deep,174.055,55.095,120.64,41.79,189.69,42.94,average,2.464705882,muscle,-17.22,8.98,muscle_deep
183,CUR_LION19062,CURASUB19-07,275,83.82,275,205,197,270,F,6,YES,YES,,Spawning capable,"S, M, H",deep,174.055,55.095,120.64,41.79,189.69,42.94,average,2.464705882,scale,-14.8,8.68,scale_deep
