,number,fieldnumber,depth_capture_range_ft,depth_capture_avg_m,depth_avg,weight_g,SL_mm,TL_mm,sex,gonad_weight_g,guts_preserved,whole_fish_preserved,notes,gonad_index,tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.,depth_categorical,muscle_ctotal,muscle_ntotal,scale_ctotal,scale_ntotal,heart_ctotal,heart_ntotal,calibration,tp,tissue,c,n,tissuedepth
176,CUR_LION19060,CURASUB19-07,373,113.6904,373,236,299,270,F,6,YES,YES,,Spawning Capable,"S, M, H",deep,191.17,60.32,109.48,38.23,182.83,47.32,average,2.805882353,heart,-18.04,9.79,heart_deep
179,CUR_LION19061,CURASUB19-07,314,95.7072,314,202,190,252,F,19,YES,YES,,Actively Spawning,"S,M,H",deep,187.95,58.58,111.4,37.61,189.72,49.25,single,2.591176471,heart,-18.38,9.71,heart_deep
182,CUR_LION19062,CURASUB19-07,275,83.82,275,205,197,270,F,6,YES,YES,,Spawning capable,"S, M, H",deep,174.055,55.095,120.64,41.79,189.69,42.94,average,2.464705882,heart,-19.8,11.22,heart_deep
197,CUR_LION19068,CURASUB19-08,480,146.304,480,645,280,380,M,<1,YES,YES,whole shrimp regurgitated,Spawning capable,"S, M, H",deep,185.57,59.12,114.64,40.42,170.215,47.665,average,2.938235294,heart,-16.67,10.355,heart_deep
200,CUR_LION19069,CURASUB19-08,570,173.736,570,368,245,320,F,13,YES,YES,,Spawning capable,"S, M,H",deep,188.96,59.445,114.4,37.12,191.31,47.78,average,2.958823529,heart,-17.58,11.11,heart_deep
203,CUR_LION19070,CURASUB19-08,305,92.964,305,540,280,380,M,<1,YES,YES,inverted stomach from barotrauma,Spawning capable,"S, M, H",deep,186.005,58.26,111.36,38.65,182.44,47.69,average,2.648529412,heart,-18.12,9.03,heart_deep
206,CUR_LION19071,CURASUB19-08,285,86.868,285,257,220,285,F,16,YES,YES,whole Paroncheilus affinis regurgitated,Actively Spawning,"S, M, H",deep,187.705,59.55,118.37,40.09,185.86,49.56,average,2.592647059,heart,-17.69,9.43,heart_deep
209,CUR_LION19072,CURASUB19-08,260,79.248,260,682,285,380,M,<1,YES,YES,,Spawning capable,"S, M, H",deep,185.92,59.29,116.93,40.36,179.88,48.07,average,2.45,heart,-17.63,8.49,heart_deep
212,CUR_LION19073,CURASUB19-08,280,85.344,280,458,245,330,F,11,YES,YES,,Developing,"S, M, H",deep,164.19,51.59,112.92,38.11,177.26,47.5,average,2.714705882,heart,-17.64,10.26,heart_deep
215,CUR_LION19074,CURASUB19-08,280,85.344,280,270,220,290,F,8,YES,YES,,Spawning capable,"S, M, H",deep,194.28,61.74,113.27,37.81,175.155,44.065,average,2.688235294,heart,-18.145,9.435,heart_deep
218,CUR_LION19075,CURASUB19-08,280,85.344,280,265,225,290,F,19,YES,YES,,Actively Spawning,"S, M, H",deep,192.92,60.02,114.48,39.04,178.1,48.16,single,2.735294118,heart,-18.15,10.82,heart_deep
221,CUR_LION19076,CURASUB19-08,285,86.868,285,357,240,315,F,10,YES,YES,,Spawning capable,"S, M, H",deep,177.145,56.66,104.76,35.82,175.13,46.62,average,2.680882353,heart,-17.76,9.47,heart_deep
224,CUR_LION19077,CURASUB19-08,256,78.0288,256,347,205,285,F,14,YES,YES,,Actively Spawning,"S, M, H",deep,209.77,49.955,117.68,39.46,180.54,45.76,average,2.477941176,heart,-16.48,9.14,heart_deep
227,CUR_LION19078,CURASUB19-08,280,85.344,280,710,295,383,M,<1,YES,YES,,Spawning capable,"S, M, H",deep,165.15,52.47,111.22,38.77,178.64,49.375,average,2.655882353,heart,-17.245,9.47,heart_deep
7,CUR_LION19004,CURASUB19-02,,106.68,350,880,360,470,F,6,YES,YES,,Early Developing,"S, M, H",deep,187.53,59.1,114.03,39.04,180.91,44.72,single,2.961764706,muscle,-17.07,10.67,muscle_deep
22,CUR_LION19009,CURASUB19-03,,106.68,350,179,195,245,F,8,YES,YES,,Spawning capable,"S, M, H",deep,184.135,57.78,122.2,40.99,179.29,47.21,average,2.510294118,muscle,-16.025,9.135,muscle_deep
25,CUR_LION19010,CURSH19-08,200 ft,60.96,200,581,255,340,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,185.96,58.99,116.23,40.11,178.06,48.52,average,2.507352941,muscle,-17.08,9.125,muscle_deep
28,CUR_LION19011,CURSH19-08,200 ft,60.96,200,236,183,245,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,187.39,59.09,122.31,42.14,186.06,48.66,single,3.244117647,muscle,-12.14,11.63,muscle_deep
67,CUR_LION19024,CURASUB19-04,224 ft,68.2752,224,116,160,215,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,155.18,49.12,123.4,42.39,172.13,45.92,average,2.530882353,muscle,-17.77,9.205,muscle_deep
70,CUR_LION19025,CURASUB19-04,290 ft,88.392,290,714,305,395,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",deep,185.8,59.23,110.89,37.32,178.4,47.89,single,2.732352941,muscle,-17.11,9.89,muscle_deep
